City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yenagoa,NG,2020-02-19 04:43:46,4.92,6.26,75.67,93,76,1.43
1,Hilo,US,2020-02-19 04:43:46,19.73,-155.09,78.8,54,75,5.82
2,Aklavik,CA,2020-02-19 04:43:47,68.22,-135.01,14.0,66,75,5.82
3,Punta Arenas,CL,2020-02-19 04:42:28,-53.15,-70.92,48.2,57,75,27.51
4,Kavieng,PG,2020-02-19 04:43:48,-2.57,150.8,83.73,75,61,10.25
5,Rikitea,PF,2020-02-19 04:43:48,-23.12,-134.97,78.85,78,1,14.81
6,Irbil,IQ,2020-02-19 04:43:49,36.19,44.01,50.0,87,40,6.93
7,Mataura,NZ,2020-02-19 04:43:49,-46.19,168.86,62.01,69,70,11.99
8,Ushuaia,AR,2020-02-19 04:43:49,-54.8,-68.3,46.4,81,75,27.51
9,New Norfolk,AU,2020-02-19 04:43:50,-42.78,147.06,66.0,51,75,21.92
10,Huarmey,PE,2020-02-19 04:43:50,-10.07,-78.15,72.7,76,92,3.15
11,Geraldton,AU,2020-02-19 04:43:50,-28.77,114.6,91.4,33,100,17.22
12,Redmond,US,2020-02-19 04:43:50,47.67,-122.12,41.0,60,1,2.35
13,Chuy,UY,2020-02-19 04:43:50,-33.7,-53.46,64.62,92,14,6.17
14,Busselton,AU,2020-02-19 04:43:50,-33.65,115.33,93.0,18,28,14.72
15,Meulaboh,ID,2020-02-19 04:43:51,4.14,96.13,80.15,80,95,8.93
16,Buenos Aires,AR,2020-02-19 04:43:51,-34.61,-58.38,66.2,77,0,4.7
17,Klaksvik,FO,2020-02-19 04:43:51,62.23,-6.59,37.4,93,95,2.24
18,Gold Coast,AU,2020-02-19 04:43:51,-28.0,153.43,96.01,70,40,20.8
19,Chokurdakh,RU,2020-02-19 04:43:52,70.63,147.92,-5.76,97,98,8.66
20,Kampene,CD,2020-02-19 04:43:52,-3.6,26.67,71.46,96,100,1.05
21,Mahebourg,MU,2020-02-19 04:43:53,-20.41,57.7,81.0,69,20,10.29
22,Hermanus,ZA,2020-02-19 04:43:53,-34.42,19.23,68.0,81,1,19.84
23,Bengkulu,ID,2020-02-19 04:41:46,-3.8,102.27,83.44,80,15,4.7
24,Vaini,TO,2020-02-19 04:43:53,-21.2,-175.2,78.8,83,40,9.17
25,Tumpat,MY,2020-02-19 04:43:53,6.2,102.17,86.0,66,40,14.99
26,Bara,NG,2020-02-19 04:43:53,10.37,10.73,62.98,27,33,5.28
27,Pevek,RU,2020-02-19 04:43:54,69.7,170.31,-25.58,100,89,1.32
28,Imeni Poliny Osipenko,RU,2020-02-19 04:43:54,52.42,136.49,10.92,85,100,3.33
29,Yellowknife,CA,2020-02-19 04:40:29,62.46,-114.35,-9.0,76,75,10.29
30,Cape Town,ZA,2020-02-19 04:40:25,-33.93,18.42,69.01,82,0,10.29
31,Batagay,RU,2020-02-19 04:43:55,67.63,134.63,-11.87,90,41,3.42
32,Alofi,NU,2020-02-19 04:43:55,-19.06,-169.92,82.4,69,23,9.17
33,Peniche,PT,2020-02-19 04:43:55,39.36,-9.38,50.0,93,0,2.24
34,Kungurtug,RU,2020-02-19 04:43:56,50.6,97.52,11.19,81,100,4.12
35,Narsaq,GL,2020-02-19 04:43:56,60.92,-46.05,14.0,51,70,1.12
36,Siverek,TR,2020-02-19 04:43:56,37.76,39.32,39.2,100,75,9.17
37,Cadillac,US,2020-02-19 04:43:56,44.25,-85.4,26.6,85,90,11.41
38,Polunochnoye,RU,2020-02-19 04:43:57,60.87,60.42,32.99,83,24,8.08
39,Bluff,NZ,2020-02-19 04:43:57,-46.6,168.33,62.01,69,9,11.99
40,Albany,US,2020-02-19 04:43:33,42.6,-73.97,39.0,93,90,10.29
41,Port Hardy,CA,2020-02-19 04:43:57,50.7,-127.42,30.2,92,5,4.7
42,Bethel,US,2020-02-19 04:43:57,41.37,-73.41,43.0,100,90,3.36
43,Nikolskoye,RU,2020-02-19 04:43:58,59.7,30.79,39.2,80,75,8.95
44,Lebu,CL,2020-02-19 04:43:58,-37.62,-73.65,54.63,87,0,6.49
45,Qaanaaq,GL,2020-02-19 04:43:58,77.48,-69.36,-13.72,66,61,6.62
46,Caravelas,BR,2020-02-19 04:43:58,-17.71,-39.25,79.7,81,10,12.44
47,Lamu,KE,2020-02-19 04:43:59,-2.27,40.9,81.64,83,0,10.02
48,Alexandria,EG,2020-02-19 04:43:59,31.22,29.96,59.0,67,40,10.29
49,Kloulklubed,PW,2020-02-19 04:43:59,7.04,134.26,81.61,77,100,22.15
50,Pangai,TO,2020-02-19 04:44:00,-19.8,-174.35,82.4,61,20,5.82
51,Carnarvon,AU,2020-02-19 04:44:00,-24.87,113.63,84.2,74,100,12.75
52,Clyde River,CA,2020-02-19 04:44:00,70.47,-68.59,-25.6,74,75,4.7
53,Kerouane,GN,2020-02-19 04:44:00,9.27,-9.02,64.96,56,0,2.44
54,Avarua,CK,2020-02-19 04:42:42,-21.21,-159.78,82.4,78,100,8.05
55,Mar Del Plata,AR,2020-02-19 04:40:38,-38.0,-57.56,59.0,93,0,3.36
56,Sobolevo,RU,2020-02-19 04:44:01,54.43,31.9,34.81,87,66,12.03
57,Vila Franca Do Campo,PT,2020-02-19 04:44:01,37.72,-25.43,59.0,87,75,6.93
58,Atbasar,KZ,2020-02-19 04:44:01,51.8,68.33,29.71,89,100,24.27
59,Shivrajpur,IN,2020-02-19 04:44:02,22.42,73.65,75.2,53,78,3.36
60,Vao,NC,2020-02-19 04:44:02,-22.67,167.48,79.41,75,6,12.59
61,Adrar,MR,2020-02-19 04:44:02,20.5,-10.07,67.35,16,58,9.62
62,Hobart,AU,2020-02-19 04:40:24,-42.88,147.33,66.0,51,75,21.92
63,Makakilo City,US,2020-02-19 04:42:46,21.35,-158.09,80.01,88,90,4.7
64,Garh Maharaja,PK,2020-02-19 04:44:02,30.83,71.91,76.14,12,73,9.57
65,Dourbali,TD,2020-02-19 04:44:03,11.81,15.86,65.79,26,15,8.7
66,Georgetown,MY,2020-02-19 04:44:03,5.41,100.34,86.0,66,20,4.7
67,Saint-Augustin,CA,2020-02-19 04:43:04,51.23,-58.65,19.36,83,83,13.2
68,Souillac,MU,2020-02-19 04:44:04,-20.52,57.52,81.0,69,20,10.29
69,Ribeira Grande,PT,2020-02-19 04:44:04,38.52,-28.7,57.16,88,55,11.14
70,Barrow,US,2020-02-19 04:39:08,71.29,-156.79,-0.4,77,90,17.22
71,Sens,FR,2020-02-19 04:44:04,48.17,3.33,43.0,93,93,13.87
72,Dikson,RU,2020-02-19 04:44:05,73.51,80.55,15.58,89,98,36.33
73,Khatanga,RU,2020-02-19 04:44:05,71.97,102.5,-6.93,90,3,4.79
74,Tuatapere,NZ,2020-02-19 04:44:05,-46.13,167.68,62.01,69,86,11.99
75,Kattivakkam,IN,2020-02-19 04:44:05,13.22,80.32,86.0,51,20,5.82
76,Praia Da Vitoria,PT,2020-02-19 04:44:05,38.73,-27.07,57.2,87,75,15.12
77,Atuona,PF,2020-02-19 04:44:05,-9.8,-139.03,81.72,81,54,20.8
78,Hasaki,JP,2020-02-19 04:44:06,35.73,140.83,59.0,37,75,2.24
79,Novaya Zaimka,RU,2020-02-19 04:44:06,56.49,66.92,32.02,91,100,13.69
80,Sitka,US,2020-02-19 04:44:06,57.05,-135.33,42.8,60,75,18.34
81,Zeya,RU,2020-02-19 04:44:06,53.75,127.27,10.81,74,22,8.66
82,Umm Lajj,SA,2020-02-19 04:44:06,25.02,37.27,64.71,53,0,1.14
83,Karmala,IN,2020-02-19 04:44:07,18.42,75.2,87.21,15,0,9.95
84,Henties Bay,NA,2020-02-19 04:44:07,-22.12,14.28,64.0,90,100,1.01
85,Iquitos,PE,2020-02-19 04:44:07,-3.75,-73.25,75.2,94,75,2.24
86,Guarapari,BR,2020-02-19 04:42:08,-20.67,-40.5,78.8,88,75,3.36
87,Longyearbyen,SJ,2020-02-19 04:41:31,78.22,15.64,3.2,65,40,23.04
88,Tasiilaq,GL,2020-02-19 04:44:08,65.61,-37.64,21.2,85,100,25.28
89,Kushima,JP,2020-02-19 04:44:08,31.46,131.23,51.8,53,20,6.93
90,Douentza,ML,2020-02-19 04:44:08,15.0,-2.95,62.51,21,0,3.27
91,Brae,GB,2020-02-19 04:44:08,60.4,-1.35,42.8,76,80,2.24
