,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
1,Esperance,AU,78.8,-33.87,121.9,scattered clouds,Hospitality Esperance
2,Rikitea,PF,79.86,-23.12,-134.97,few clouds,Pension Maro'i
3,Kulhudhuffushi,MV,83.57,6.62,73.07,overcast clouds,Haajy Guest House 1
7,Kapaa,US,80.6,22.08,-159.32,few clouds,Sheraton Kauai Resort at Coconut Beach
8,Nieuw Amsterdam,SR,78.01,5.88,-55.08,scattered clouds,Hotel Stardust
11,Vaini,TO,84.2,-21.2,-175.2,scattered clouds,Keleti Beach Resort
12,Hobart,AU,80.01,-42.88,147.33,few clouds,St Ives Apartments
13,Airai,TL,83.41,-8.93,125.41,clear sky,Juvinal Martin
15,Carnarvon,AU,82.4,-24.87,113.63,clear sky,Hospitality Carnarvon
17,Yulara,AU,89.6,-25.24,130.99,clear sky,Desert Gardens Hotel - Ayers Rock Resort
19,Omboue,GA,76.46,-1.57,9.26,overcast clouds,Hotel Olako
22,New Norfolk,AU,80.01,-42.78,147.06,few clouds,The Shingles Riverside Cottages
24,Lorengau,PG,83.62,-2.02,147.27,clear sky,Lorengau Harbourside Hotel
26,Atuona,PF,81.77,-9.8,-139.03,clear sky,Villa Enata
30,Vila Velha,BR,77.0,-20.33,-40.29,thunderstorm,Hotel Vitória Palace
32,Busselton,AU,84.0,-33.65,115.33,overcast clouds,Observatory Guest House
37,Sola,VU,82.81,-13.88,167.55,overcast clouds,Leumerus Bungalows
46,Ewa Beach,US,80.6,21.32,-158.01,clear sky,Parkside By Gentry
54,Bambous Virieux,MU,75.2,-20.34,57.76,shower rain,Casa Tia Villa
60,Cabo San Lucas,MX,75.2,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
62,Grand Gaube,MU,75.2,-20.01,57.66,shower rain,Veranda Paul et Virginie Hotel & Spa
66,Dosso,NE,76.6,13.05,3.19,scattered clouds,Hotel Toubal
78,Conde,BR,80.6,-7.26,-34.91,few clouds,Pousada Beija Flor
90,Mahebourg,MU,75.2,-20.41,57.7,shower rain,Shandrani Beachcomber Resort & Spa
100,Zorritos,PE,89.6,-3.68,-80.68,broken clouds,COSTA AZUL ZORRITOS MANGO
106,Hithadhoo,MV,83.25,-0.6,73.08,overcast clouds,Scoop Guest House
107,Victoria,HK,75.99,22.29,114.16,few clouds,Mini Hotel Central
113,Markala,ML,75.65,13.7,-6.07,clear sky,Yaya Hôtel
114,Belmonte,BR,78.8,-15.86,-38.88,broken clouds,Pousada Monte Carmelo O Pão
117,Ippy,CF,77.09,6.27,21.22,clear sky,
129,Namibe,AO,75.56,-15.2,12.15,broken clouds,Chik-Chik Namibe
137,Curuca,BR,81.16,-0.73,-47.85,broken clouds,Hotel Curuça
138,Ixtapa,MX,78.8,20.7,-105.2,few clouds,Container Inn Puerto Vallarta
143,Namatanai,PG,86.38,-3.67,152.43,overcast clouds,Namatanai Hotel
144,Tela,HN,77.0,15.78,-87.45,broken clouds,Hotel & Restaurante Cesar Mariscos
146,Mount Gambier,AU,78.8,-37.83,140.77,clear sky,Best Western Southgate Motel
152,Norsup,VU,86.0,-16.07,167.38,broken clouds,Nabelchel Bungalows
155,Hilo,US,80.6,19.73,-155.09,clear sky,Hilo Hawaiian Hotel
167,Mount Isa,AU,87.8,-20.73,139.5,broken clouds,ibis Styles Mt Isa Verona
168,Souillac,MU,75.2,-20.52,57.52,shower rain,Bils' Villa
173,Kahului,US,82.4,20.89,-156.47,scattered clouds,Maui Seaside Hotel
185,Makakilo City,US,80.6,21.35,-158.09,clear sky,Marriott's Ko Olina Beach Club
202,Marawi,PH,80.01,8.0,124.29,clear sky,Derogongan Residence
203,Port Augusta,AU,88.0,-32.5,137.77,clear sky,Majestic Oasis Apartments
206,Tautira,PF,86.0,-17.73,-149.15,shower rain,Pension Oaoa
210,Ipixuna,BR,78.8,-1.76,-48.8,scattered clouds,Casa da Oscarina
213,Karratha,AU,82.11,-20.74,116.85,clear sky,ibis Styles Karratha
216,Luanda,AO,77.0,-8.84,13.23,broken clouds,EPIC SANA Luanda
218,Srinivaspur,IN,75.0,13.33,78.22,mist,Abhi chicken and egg centre shivu
220,Nelson Bay,AU,77.0,-32.72,152.15,overcast clouds,Mantra Nelson Bay
224,Hobyo,SO,76.05,5.35,48.53,broken clouds,
234,Flinders,AU,78.8,-34.58,150.86,broken clouds,Shellharbour Resort & Conference Centre
235,Madang,PG,82.83,-5.22,145.8,clear sky,Comfort Inn Hotel
239,Georgetown,MY,86.0,5.41,100.34,few clouds,Cititel Penang
242,Tubmanburg,LR,76.1,6.87,-10.82,clear sky,LITTLE WAY GUEST HOUSE
243,Cayenne,GF,80.6,4.93,-52.33,overcast clouds,Hôtel Le Dronmi
244,Caravelas,BR,81.16,-17.71,-39.25,overcast clouds,Pousada dos Navegantes
245,Tura,IN,77.29,25.52,90.22,overcast clouds,Hotel RIKMAN Continental
246,Faanui,PF,83.26,-16.48,-151.75,broken clouds,Bora-Bora Pearl Beach Resort & Spa
247,Betong,TH,80.82,5.77,101.07,scattered clouds,New Cathay Hotel
248,Thinadhoo,MV,83.28,0.53,72.93,overcast clouds,
259,Koutiala,ML,75.42,12.39,-5.46,clear sky,Hotel Campement Poule Verte
262,Kilindoni,TZ,84.25,-7.91,39.67,overcast clouds,Bustani B&B
268,San Nicolas,PH,84.2,18.17,120.6,few clouds,NORTHVIEW Hotel
269,Comodoro Rivadavia,AR,77.0,-45.87,-67.5,scattered clouds,Austral Hotel
270,Cap Malheureux,MU,75.2,-19.98,57.61,shower rain,Pereybere Hotel & Spa
276,Trelew,AR,75.25,-43.25,-65.31,clear sky,Hotel Touring Club
277,Tiarei,PF,86.0,-17.53,-149.33,shower rain,Le Rocher de Tahiti
282,Touros,BR,78.8,-5.2,-35.46,scattered clouds,INN NEW HORIZON
285,San Onofre,CO,77.07,9.74,-75.53,overcast clouds,Hotel Sinai
287,Todos Santos,MX,75.2,23.45,-110.22,scattered clouds,Hotel California Todos Santos
289,La Asuncion,VE,78.8,11.03,-63.86,broken clouds,Colinas de Matasiete
294,Broken Hill,AU,84.2,-31.95,141.43,broken clouds,Daydream Motel & Cottages
302,Inhambane,MZ,79.0,-23.86,35.38,overcast clouds,MHL Turismo SA
303,Sapang Dalaga,PH,83.95,8.54,123.56,clear sky,Villa Pablea
304,Vanimo,PG,82.38,-2.67,141.3,scattered clouds,Vahmoneh Lodge Vanimo
305,Port Blair,IN,81.57,11.67,92.75,overcast clouds,Fortune Resort Bay Island
307,Lashio,MM,79.0,22.93,97.75,scattered clouds,Hotel CF Lashio - Burmese Only
319,Lagos,NG,82.4,6.58,3.75,scattered clouds,
323,Takoradi,GH,78.01,4.88,-1.76,broken clouds,Raybow International Hotel
331,Luba,GQ,82.4,3.46,8.55,few clouds,
333,Kavieng,PG,84.52,-2.57,150.8,clear sky,Nusa Island Retreat
334,Geraldton,AU,86.0,-28.77,114.6,scattered clouds,Broadwater Mariner Resort
337,El Alto,PE,76.1,-4.27,-81.21,overcast clouds,Black Marlin Lodge & Restaurant
339,Alice Springs,AU,87.8,-23.7,133.88,clear sky,Desert Palms Alice Springs
341,Grand Baie,MU,75.2,-20.02,57.58,shower rain,Trou aux Biches Beachcomber Golf Resort & Spa
354,Denpasar,ID,84.51,-8.65,115.22,few clouds,ASTON Denpasar Hotel & Convention Center
355,Sri Aman,MY,80.6,1.24,111.46,broken clouds,Seri Simanggang Hotel
357,Ca Mau,VN,89.06,9.18,105.15,clear sky,Khách Sạn Mường Thanh Luxury Cà Mau
360,Port Lincoln,AU,82.49,-34.73,135.87,clear sky,Port Lincoln Hotel
361,Santa Rosa,PH,87.01,14.31,121.11,broken clouds,Sta Rosa Budget Room
368,Victor Harbor,AU,87.01,-35.57,138.62,few clouds,Apollon Motor Inn
380,Itupiranga,BR,78.8,-5.13,-49.33,overcast clouds,JAIRO ORLINDO VIEIRA
388,Soe,ID,86.52,-9.86,124.28,broken clouds,Dena Hotel
389,Moindou,NC,89.6,-21.69,165.68,scattered clouds,Gite de la RYAWA
393,Xichang,CN,75.0,27.9,102.26,clear sky,Xichang ibis Hotel
401,Bubaque,GW,78.66,11.28,-15.83,broken clouds,Casa Dora
405,San Patricio,MX,77.0,19.22,-104.7,clear sky,Hotel Cabo Blanco
413,Kapoeta,SS,85.32,4.77,33.59,broken clouds,Eastgate Hotel
415,Kloulklubed,PW,82.4,7.04,134.26,overcast clouds,Storyboard Beach Resort
417,San Cristobal,VE,80.6,7.77,-72.22,haze,Pirineos
